EVTOPTA_CM_4013;Spare me your lamentations!;Épargnez-moi vos lamentations !;Verschont mich mit Eurem Gejammer!;;¡Ahórrate tus lamentos!;;;;;;;;;x
HOLY_ORDER_BUILD_CASTLE_ALT;My dear [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. I am willing to cancel your debt to us if you will simply allow us to build a castle in [target_province.GetName]. May [target_grandmaster.Religion.GetHighGodName] bless you,\n\nGrand Master [target_grandmaster.GetFirstName];M[Root.GetOnA] ch[Root.GetErEre] [Root.GetTitledFirstName], l'Ordre a besoin de davantage de commanderies afin d'entraîner des troupes et assurer son financement. Nous sommes prêts à annuler votre dette si vous nous permettez de bâtir un château en [target_province.GetName].\nPuissiez-vous être béni[Root.Get_E] par [target_grandmaster.Get_le_HighGod],\nGrand Maître [target_grandmaster.GetFirstName];M[Root.Geteineine] liebe[Root.GetrMale] [Root.GetTitledFirstName], der Orden braucht mehr Burgen, um Truppen zu trainieren und Einkommen zu generieren. Ich bin bereit, eure Schulden bei uns aufzukündigen, wenn ihr uns erlaubt, eine Burg in [target_province.GetName] zu bauen. Möge [target_grandmaster.Religion.GetHighGodName] euch segnen,\n\nGroßmeister [target_grandmaster.GetFirstName];;Estimad[Root.GetOA] [Root.GetTitledFirstName], la Orden necesita más castillos para adiestrar tropas y generar ingresos que nos sustenten. Estoy dispuesto a cancelar vuestra deuda con nosotros si tan solo nos dejáis levantar un castillo en [target_province.GetName]. Que [target_grandmaster.Religion.GetHighGodName] os bendiga.\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
HOLY_ORDER_BUILD_CASTLE_FOR_MONEY_ALT;Most righteous [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nMay [From.Religion.GetHighGodName] bless you,\n\nGrand Master [From.GetFirstName];Très juste [Root.GetTitledFirstName], l'Ordre a besoin de nouvelles commanderies afin d'entraîner des troupes ainsi que pour générer les revenus nécessaires à son fonctionnement. Or, un de nos sergents nous a signalé que vous possédiez un emplacement approprié sur vos terres de [FromFrom.GetName]. Nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\nPuissiez-vous être béni[Root.Get_E] par [From.Get_le_HighGod]\n\nGrand Maître [From.GetFirstName];Rechtschaffenste[Root.GetrMale] [Root.GetTitledFirstName], der Orden braucht mehr Burgen, um Truppen zu trainieren und Einkommen zu generieren. Es ist mir aufgefallen, dass es in eurer Domäne einen geeigneten Ort mit [FromFrom.GetName] gibt. Ich bin bereit 100 Goldstücke im Austausch für das Recht zu zahlen, dort eine Burg zu bauen.\nMöge [From.Religion.GetHighGodName] euch segnen,\n\nGroßmeister [From.GetFirstName];;Just[Root.GetOA] [Root.GetTitledFirstName], la Orden necesita más castillos para adiestrar tropas y generar ingresos que nos sustenten. Se me ha llamado la atención sobre una ubicación adecuada en vuestros dominios. En [FromFrom.GetName], para ser exactos. Estoy dispuesto a pagaros 100 monedas de oro a cambio del derecho a construir una fortaleza allí.\nQue [From.Religion.GetHighGodName] os bendiga.\n\nGran Maestre [From.GetFirstName];;;;;;;;;x
HOLY_ORDER_CONSTRUCTION_COMPLETE_ALT;The Holy Order has constructed a castle in [Root.GetName]!;L'Ordre saint a construit un château en [Root.GetName] !;Der Mönchsorden hat eine Burg in [Root.GetName] errichtet!;;¡La Orden sagrada ha levantado un castillo en [Root.GetName]!;;;;;;;;;x
HOLY_ORDER_DEMAND_SON_ALT;Most righteous [Root.GetTitledFirstName], I have a humble request for you in light of your debt to us. There is no rest in our defense against the infidel and we have desperate need of knights to lead our men. Thus, I would like to extend this opportunity to your able and noble son [demanded_child.GetFirstName] to serve in our ranks. Naturally, this would disinherit him. May [target_grandmaster.Religion.GetHighGodName] bless you,\n\nGrand Master [target_grandmaster.GetFirstName];Très juste [Root.GetTitledFirstName], j'ai une humble requête à vous soumettre, qui a trait à votre dette envers l'Ordre.\n\nComme vous le savez, notre lutte contre les infidèles ne connaît aucun répit et nous avons grand besoin de chevaliers. Nous présentons donc l'opportunité à votre fils [demanded_child.GetFirstName] de servir dans nos rangs afin de rembourser votre emprunt. Notez cependant que cet engagement le déshériterait.\n\nGrand Maître [target_grandmaster.GetFirstName];Rechtschaffenste[Root.GetrMale] [Root.GetTitledFirstName], ich habe eine bescheidende Bitte an euch angesichts eurer Schulden an uns. Unsere Verteidigung gegen die Ungläubigen hat keine Ruhe und wir brauchen dringend Ritter, um unsere Männer anzuführen. Ich möchte diese Gelegenheit daher nutzen, um euren fähigen und edlen Sohn [demanded_child.GetFirstName] anzufordern, um in unseren Reihen zu dienen. Natürlich würde dies ihn enterben. Möge [target_grandmaster.Religion.GetHighGodName] euch segnen,\n\nGroßmeister [target_grandmaster.GetFirstName];;Just[Root.GetOA] [Root.GetTitledFirstName]. Quisiera haceros una humilde petición respecto a la deuda que tenéis que nosotros. La lucha contra el infiel no descansa y estamos muy necesitados de caballeros que dirijan a nuestros hombres. Así pues, me gustaría extender la invitación a servir en nuestras filas a vuestro a capaz y noble hijo [demanded_child.GetFirstName]. Por supuesto, esto le desheredaría. Que [target_grandmaster.Religion.GetHighGodName] os bendiga.\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
HOLY_ORDER_DONATE_MONEY_ALT;Your Highness, this extremely generous donation will not be forgotten. You have my friendship, as well as that of the Church. Rest assured that you will be rewarded in the Afterlife, if not on Earth!\nMay [target_grandmaster.Religion.GetHighGodName] bless you,\n\nGrand Master [target_grandmaster.GetFirstName];[Root.PrimaryTitle.GetFOA], ce don des plus généreux ne sera pas oublié. Recevez notre reconnaissance ainsi que celle de l'Église et vivez avec l'assurance que vous en obtiendrez récompense dans la vie après la mort, si ce n'est en ce bas monde !\nPuissiez-vous être béni[Root.Get_E] par [target_grandmaster.Get_le_HighGod],\n\nGrand Maître [target_grandmaster.GetFirstName];Eure Hoheit, diese äußerst großzügige Spende wird nicht vergessen werden. Ihr habt meine Freundschaft, ebenso wie die der Kirche. Seit versichert, dass ihr im Jenseits belohnt werdet, wenn nicht bereits noch während ihr auf der Erde wandelt!\nMöge [target_grandmaster.Religion.GetHighGodName] euch segnen,\n\nGroßmeister [target_grandmaster.GetFirstName];;Alteza, nunca olvidaremos esta generosa donación. Contáis con mi amistad, así como la de la Iglesia. ¡Sabed que tendréis una recompensa en la otra vida, si no en esta!\nQue [target_grandmaster.Religion.GetHighGodName] os bendiga.\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
HOLY_ORDER_EXPEL_ALT;Your majesty, this antagonism is completely unwarranted! The Order serves [target_grandmaster.Religion.GetHighGodName], but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [target_grandmaster.GetFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est complètement injustifiée ! Notre Ordre sert [target_grandmaster.Get_le_HighGod] et votre acte tend à montrer que vous non !\n\nEntre colère et tristesse,\nGrand Maître [target_grandmaster.GetFirstName];Eure Majestät, dieser Antagonismus ist völlig ungerechtfertigt! Der Orden dient [target_grandmaster.Religion.GetHighGodName], aber tut ihr es auch!?\n\nMit Wut und Traurigkeit,\n\nGroßmeister [target_grandmaster.GetFirstName];;¡Vuestra Majestad, esta hostilidad está totalmente injustificada! La Orden sirve a [target_grandmaster.Religion.GetHighGodName], pero no puedo más que dudar si vos lo hacéis\n\nCon rabia y tristeza,\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x

expelling_holy_order_decision_tooltip_b;Expel the Holy Order from the realm.;Expulse du pays l'ordre sacré.;Vertreibt den Heiligen Orden aus dem Reich.;;Expulsar a la Orden Sagrada del reino.;;;;;;;;;x
expelling_holy_order_event_tooltip_a;Expel the Holy Order and confiscate any land they have within the realm;Expulse l'ordre sacré et confisque toutes ses propriétés dans le pays;Vertreibt den Heiligen Orden und konfisziert alle Landbesitztümer des Ordens im Reich;;Expulsar a la Orden Sagrada y confiscar las tierras que tengan dentro del reino;;;;;;;;;x
expelling_holy_order_event_tooltip_b;Allow the Holy Order to remain within the realm;Permet à l'ordre sacré de rester dans le pays;Erlaubt dem Heiligen Orden, im Reich zu verbleiben;;Permitir que la Orden Sagrada permanezca dentro del reino;;;;;;;;;x
