# Slots
ceremonial_torso;Ceremonial Gown;Robe de cérémonie;Zeremonielles Kleid;;Vestimenta ceremonial;;;;;;;;;x
finger_of_st_john_desc;A finger belonging to St. John the Baptist. St. John was a prophet of the Messiah, and was also the one to baptize Jesus.;Un doigt appartenant à saint Jean-Baptiste. Saint Jean était un prophète du Messie, et fut aussi celui qui devait baptiser Jésus.;Ein Finger des hl. Johannes des Täufers. Johannes der Täufer war ein Jünger des Messias, von dem Jesus getauft wurde.;;Un dedo perteneciente a san Juan Bautista. San Juan fue un profeta del Mesías, y también fue quien bautizó a Jesús.;;;;;;;;;x
fingerbone_of_saint;Saint's Fingerbone;Os du doigt d'un saint;Fingerknochen des Heiligen;;Falange de santo;;;;;;;;;x
fingerbone_of_saint_desc;This little bone is said to have come from a great saint.;Ce petit os est dit provenir d'un grand saint.;Dieser kleine Knochen soll von einem großen Heiligen stammen.;;Se dice que este hueso perteneció a un santo importante.;;;;;;;;;x
fragment_of_true_cross;Nail of the True Cross;Clou de la Vraie Croix;Nagel des Kreuzes;;Clavo de la santa cruz;;;;;;;;;x
fragment_of_true_cross_desc;A nail of the cross Jesus was crucified upon. To possess such a fragment of the True Cross is tremendously prestigious!;Un clou de la croix sur laquelle Jésus a été crucifié. Posséder un tel fragment de la Vraie Croix est extrêmement prestigieux !;Ein Nagel des Kreuzes, an dem Jesus gekreuzigt wurde. Der Besitz einer solchen Reliquie vom Heiligen Kreuz ist enorm prestigeträchtig!;;Un clavo de la cruz en la que crucificaron a Jesús. ¡Poseer un fragmento de la santa cruz como este proporciona un gran prestigio!;;;;;;;;;x
fruits_the_book;Fruits – the Book;Les fruits - le livre;Früchte - Das Buch;;Frutas, el libro;;;;;;;;;x
fruits_the_book_desc;While interested in a number of things, [From.OriginalOwner.GetTitledFirstName] decided to write about fruit, exotic and everyday ones. It's a bit long, according to critical reception.;Bien qu'intéressé[From.OriginalOwner.Get_E] par de nombreuses choses, [From.OriginalOwner.Get_le_TitledFirstName] a décidé d'écrire un livre sur les fruits, les exotiques comme les ordinaires. C'est un peu long, d'après la critique.;Auch wenn [From.OriginalOwner.GetTitledFirstName] sich für eine Vielzahl anderer Dinge interessierte, entschied [From.OriginalOwner.GetSheHe] sich dafür, über Früchte, ob exotisch oder alltäglich, zu schreiben. Nach kritischer Begutachtung wird es als etwas lang empfunden.;;Aunque le interesaban muchas cosas, [From.OriginalOwner.GetTitledFirstName] decidió escribir sobre fruta, la exótica y la más común. Un poco largo, según la crítica.;;;;;;;;;x
fruits_the_book_desc_rename;While interested in a number of things, [Root.GetTitledFirstName] decided to write about fruit, exotic and everyday ones. It's a bit [Root.GetPublicOpinionOfWork], according to critical reception.;Bien qu'intéressé[Root.Get_E] par de nombreuses choses, [Root.Get_le_TitledFirstName] a décidé d'écrire un livre sur les fruits, les exotiques comme les ordinaires. C'est un peu [Root.GetPublicOpinionOfWork], d'après la critique.;Auch wenn [Root.GetTitledFirstName] sich für eine Vielzahl anderer Dinge interessierte, entschied [Root.GetSheHe] sich dafür, über Früchte, ob exotisch oder alltäglich, zu schreiben. Nach kritischer Begutachtung wird es als etwas [Root.GetPublicOpinionOfWork] empfunden;;Aunque le interesaban muchas cosas, [Root.GetPublicOpinionOfWork] decidió escribir sobre fruta, la exótica y la más común. Un poco [Root.GetPublicOpinionOfWork], según la crítica.;;;;;;;;;x
gardens_of_planet;Gardens of the Moon;Jardins de la Lune;Mondgärten;;Jardines de la Luna;;;;;;;;;x
gardens_of_planet_desc;It is no secret that the stars affect every living thing around us. In this book [From.OriginalOwner.GetTitledFirstName] presents [From.OriginalOwner.GetHerHis] theories on the best methods of growing healthier plants and better tasting food, with their aid.;Ce n'est pas un secret que les étoiles affectent tout ce qui vit autour de nous. Dans ce livre, [From.OriginalOwner.Get_le_TitledFirstName] présente ses théories sur les meilleures méthodes pour faire pousser des plantes en bonne santé et des aliments plus savoureux.;Es ist kein Geheimnis, dass die Sterne jedes Lebewesen beeinflussen. In diesem Buch präsentiert [From.OriginalOwner.GetTitledFirstName] [From.OriginalOwner.GetHerHis]e Theorien zu den besten Methoden, um gesündere Pflanzen und leckereres Essen zu erlangen.;;No es ningún secreto que las estrellas influyen en todo ser vivo que nos rodea. En este libro [From.OriginalOwner.GetTitledFirstName] nos presenta sus teorías sobre los mejores métodos para ayudarnos a conseguir plantas más sanas y alimentos más sabrosos.;;;;;;;;;x
gardens_of_planet_rename;Gardens of [Root.GetRandomPlanetName];Jardins de [Root.GetRandomPlanetName];Gärten von [Root.GetRandomPlanetName];;Jardines de [Root.GetRandomPlanetName];;;;;;;;;x
gastronomic_tonics;Gastronomic Tonics;Fortifiants gastronomiques;Kulinarische Elixiere;;Tónicos gastronómicos;;;;;;;;;x
gastronomic_tonics_desc;This discreet, pocket-sized little tome contains a variety of recipes, ranging from delicious drinks to some curious anti-dotes for common poisons.;Ce petit livre discret contient diverses recettes, allant de boissons délicieuses à des antidotes contre des poisons courants.;Diese diskrete, taschenbuchartige Lektüre enthält eine Vielzahl von Rezepten, die von köstlichen Getränken bis hin zu einigen Gegengiften für oft benutzte Gifte reichen.;;Este volumen discreto de tamaño bolsillo contiene una variedad de recetas, de bebidas deliciosas a curiosos antídotos para los venenos comunes.;;;;;;;;;x
gjallarhorn;Gjallarhorn;Gjallarhorn;Gjallarhorn;;Gjallarhorn;;;;;;;;;x
gjallarhorn_desc;This magnificent horn produces an unmatched volume when blown. It matches closely the description of Heimdall's Gjallarhorn in myth.;Ce magnifique cor produit un son d'un volume inégalé. Il correspond étroitement à la description du Gjallarhorn de Heimdall dans le mythe.;Das prächtige Horn erzeugt einen Ton in einer nicht mehr zu übertreffenden Lautstärke. Sein Aussehen passt sehr genau auf die Beschreibung von Heimdalls Gjallarhorn in den Mythen.;;Este magnífico cuerno produce un sonido sin igual cuando se sopla. Se parece mucho a la descripción del Gjallarhorn de Heimdall de la leyenda.;;;;;;;;;x
golden_bracelets;Golden Bracelets;Bracelets en or;Goldene Armreife;;Brazaletes dorados;;;;;;;;;x
golden_bracelets_desc;A set of heavy gold bracelets with intricate engravings and filigree.;Un ensemble de lourds bracelets d'or avec des gravures complexes et filigranes.;Ein Satz schwerer Armreife aus Gold mit kunstvollen Gravuren und feiner Filigranarbeit.;;Un conjunto de pesadas pulseras de oro macizo con complejos grabados y filigranas.;;;;;;;;;x
golden_platypus;The Golden Platypus;The Golden Platypus;The Golden Platypus;;The Golden Platypus;;;;;;;;;x
desc_golden_platypus;The symbol of kings who have defied all odds and are above godhood;The symbol of kings who have defied all odds and are above godhood;The symbol of kings who have defied all odds and are above godhood;;The symbol of kings who have defied all odds and are above godhood;;;;;;;;;x
golden_staff;Golden Staff;Bâton en or;Goldener Stab;;Bastón dorado;;;;;;;;;x
golden_staff_desc;This gilded staff is covered in the most intricate engravings.;Ce bâton doré est recouvert des gravures les plus complexes.;Dieser vergoldete Stab ist mit unglaublich kunstvollen Gravuren bedeckt.;;Este bastón dorado está cubierto de elaboradísimos grabados.;;;;;;;;;x
golden_sword;Golden Sword;Épée en or;Goldenes Schwert;;Espada dorada;;;;;;;;;x
golden_sword_desc;This gilded blade and hilt, while useless in battle, will impress their holders every subject. The pommel is decorated with a single, magnificent emerald.;Cette épée à la lame dorée et la poignée dorées, bien qu'inutile dans la bataille, impressionnera chaque sujet de son détenteur. Le pommeau est décoré d'une seule et magnifique émeraude.;Diese vergoldete Klinge mit vergoldetem Heft taugt zwar nicht zum Kämpfen, macht jedoch einen gewaltigen Eindruck auf die Untertanen seines Eigentümers. Der Knauf ist mit einem prächtigen Smaragd verziert.;;Esta hoja dorada y su empuñadura, aunque inútiles para la guerra, impresionarán a todos los súbditos de su propietario. El pomo está decorado con una esmeralda magnífica.;;;;;;;;;x
good_cookbook;Feeding a Realm;Nourrir un pays;Ernähren des Reiches;;Alimentando un reino;;;;;;;;;x
good_cookbook_desc;Any administrator would be lucky to get their hands on this tome, filled with house-holding tips for a more economic administration and distribution of essential resources.;Tout administrateur serait chanceux de mettre la main sur ce livre rempli de conseils maison pour une gestion et une distribution économiques des ressources essentielles.;Jeder Verwalter wäre glücklich, eines dieser Bücher zu erlangen, das voll von Tipps für das Haushalten wirtschaftlicher Verwaltungszentren und der Verteilung von großen Mengen Ressourcen ist.;;Cualquier administrador se sentiría afortunado de conseguir este volumen, lleno de consejos domésticos para una administración más económica y la distribución de recursos esenciales.;;;;;;;;;x
haoma_sapling;Haoma Sapling;Jeune arbre Haoma;Haoma-Setzling;;Pimpollo de haoma;;;;;;;;;x
haoma_sapling_desc;A sapling of the divine Haoma bush, a fragrant golden-green bush that is said to grow on mountains. It can be consumed to aid healing, physical strength, alertness and awareness, and the cravings of the flesh.;Un arbuste du buisson divin Haoma, un arbuste odorant vert or qui est dit pousser dans les montagnes. Il peut être consommé pour aider la guérison, la force physique, la vigilance et la conscience, et les envies de chair.;Ein Schössling des göttlichen Haoma-Strauchs, einem gold-grünen duftenden Strauchs, von dem es heißt, er wachse in den Bergen. Sein Verzehr soll heilende Wirkung haben, körperliche Stärke verleihen, Wachsamkeit und Wahrnehmung stärken und positiv auf fleischliche Gelüste wirken.;;"Vástago del arbusto divino Haoma un matorral verde dorado y aromático que, según dicen, crece en las montañas. Se puede consumir como medicina o para mejorar la fuerza física, el estado de alerta, la atención y la lujuria.";;;;;;;;;x
hermetic_compass;Magnetic Compass;Boussole;Magnetischer Kompass;;Brújula magnética;;;;;;;;;x
hermetic_compass_desc;As one spins this beautifully engraved little device, a tiny metal needle will always point towards the northern lodestar. It can be used to navigate even when the stars are obscured.;Même lorsqu'on tourne ce petit appareil magnifiquement gravé, une minuscule aiguille métallique pointera toujours vers l'étoile polaire du nord. Il peut être utilisé pour naviguer même lorsque les étoiles sont obscurcies.;Wenn man dieses schön gravierte kleine Gerät dreht, zeigt eine winzige Nadel aus Metall immer zum nördlichen Leitstern. Es kann dazu verwendet werden, auch dann zu navigieren, wenn die Sterne nicht zu sehen sind.;;Aunque este instrumento con exquisitos grabados se gire, su pequeña aguja metálica siempre señalará hacia la Estrella Polar. Se puede usar para navegar, aunque las estrellas estén ocultas tras las nubes.;;;;;;;;;x
hermetic_cypher_machine;Cipher Disc;Disque de chiffrement;Chiffrierscheibe;;Disco de Alberti;;;;;;;;;x
hermetic_cypher_machine_desc;There is more to this round little metal object than what meets the eye. The symbols running along its edge, the inner row being movable through a rotating disc, allows its owner to encipher and decipher with ease.;Il y a plus dans ce petit objet rond en métal que ce que rencontre l'oeil. Les symboles glissent le long de sa périphérie, la rangée interne pouvant être déplacée à travers un disque rotatif, permettant à son détenteur de chiffrer et de déchiffrer avec facilité.;Dieses runde Objekt aus Metall kann mehr, als sein Anblick verrät. Die Symbole entlang seiner Kante und die innere Reihe, die durch eine drehbare Scheibe bewegt wird, erlauben seinem Besitzer, Texte mühelos zu verschlüsseln und zu entschlüsseln.;;Este disco es más de lo que parece a simple vista. En su círculo exterior hay unos símbolos, y el disco interior, que se puede girar, permite cifrar y descifrar con facilidad.;;;;;;;;;x
hermetic_glasses;Spectacles;Lunettes;Brille;;Anteojos;;;;;;;;;x
hermetic_glasses_desc;These 'spectacles' consist of two glass lenses set in a metal frame. They allow the elderly, whose eyesight is blurring, to read and distinguish visual details.;Ces « lunettes » se composent de deux lentilles de verre dans un cadre métallique. Elles permettent aux personnes âgées, dont la vue est floue, de lire et de distinguer les détails visuels.;Diese "Brille" besteht aus zwei in einem Metallrahmen gefassten Glaslinsen. Sie ermöglicht älteren Menschen, deren Sehvermögen nachgelassen hat, wieder zu lesen und feine Details zu erkennen.;;"Estos "anteojos" consisten en dos lentes de cristal sujetas por una montura metálica. Permiten leer y ver mejor a los ancianos y a aquellos con la vista borrosa.";;;;;;;;;x
hermetic_grand_debate;Hold a Grand Debate;Tenir un grand débat;Eine Große Debatte abhalten;;Celebrar un Gran Debate;;;;;;;;;x
hermetic_grand_debate_desc;Hold a grand debate for all members of §Y[Root.Society.GetName]§! to join. Spending several days discussing and arguing in the name of knowledge and learning.;Tenir un grand débat auquel tous les membres [Root.Get_only_du_Society]§Y[Root.Society.GetName]§! peuvent participer. Passer plusieurs jours à argumenter au nom de la connaissance.;Haltet eine Große Debatte ab, für alle Mitglieder des "§Y[Root.Society.GetName]§!"-Zirkels. Mehrere Tage lang wird diskutiert und debattiert, im Namen von Wissenschaft und Gelehrsamkeit.;;Celebra un Gran Debate para todos los miembros de §Y[Root.Society.GetName]§!. Pasa varios días hablando y debatiendo en nombre del saber y del aprendizaje.;;;;;;;;;x
hermetic_handgun;Handgun;Pistolet;Pistole;;Pistola;;;;;;;;;x
hermetic_handgun_desc;This thin metal barrel is not an impressive sight, but the destruction it can cause inspires awe and fear in equal measure. Due to a highly explosive black powder it can fire metal balls at deadly speeds.;Ce mince canon métallique n'est pas un spectacle impressionnant, mais la destruction qu'il peut causer inspire la crainte. En raison d'une poudre noire très explosive, il peut tirer des boules de métal à des vitesses mortelles.;Dieser dünne metallene Schaft sieht zwar nicht besonders eindrucksvoll aus, doch seine Zerstörung jagt Ehrfurcht und Angst ein. Mit Hilfe eines hochexplosiven schwarzen Pulvers kann er Metallkugeln in tödlicher Geschwindigkeit abfeuern.;;Este estrecho cañón de metal no impresiona a primera vista, pero la destrucción que puede causar inspira sorpresa y miedo a partes iguales. Gracias a unos polvos negros muy explosivos, puede disparar bolas metálicas a una velocidad letal.;;;;;;;;;x
