caught_with_forgery;Forgery Discovered;Contrefaçon découverte;Fälschung entdeckt;;Falsificación descubierta;;;;;;;;x
ate_beating_heart;Heart-Eater;Mange des coeurs;Herzfresser;;Comecorazones;;;;;;;;x
religious_tolerance;Religious Tolerance;Tolérance religieuse;Religiöse Toleranz;;Tolerancia religiosa;;;;;;;;x
religious_tolerance_desc;The Ruler has given signs of Religious Tolerance to the population.;Le dirigeant a donné des signes de tolérance religieuse à la population.;Der Herrscher hat der Bevölkerung Zeichen religiöser Toleranz gegeben.;;El gobernante ha dado a la población señales de tolerancia religiosa.;;;;;;;;x
weak_leader_modifier;Weak Leader;Chef faible;Schwacher Anführer;;Líder débil;;;;;;;;x
weak_leader_modifier_desc;Could not control [GetHerHis] own troops.;N'a pas pu contrôler ses propres troupes.;Dieser Anführer konnte nicht einmal die eigenen Truppen kontrollieren.;;No pudo controlar sus propias tropas;;;;;;;;x
strong_leader_modifier;Strong Leader;Chef fort;Starker Anführer;;Líder fuerte;;;;;;;;x
strong_leader_modifier_desc;Does not tolerate indiscipline in the army.;Ne tolère pas l'indiscipline dans son armée.;Duldet keine Undiszipliniertheit in der Armee.;;No tolera la indisciplina en el ejército.;;;;;;;;x
plundering_leader_modifier;Plundering Leader;Chef pillard;Plündernder Anführer;;Líder saqueador;;;;;;;;x
plundering_leader_modifier_desc;Likes to sack and plunder.;Aime piller.;Mag es zu brandschatzen und zu plündern.;;Le gusta saquear y rapiñar.;;;;;;;;x
fake_worshiper_felt_guilty;Visited Temple;Se rendait au temple;Besuchte den Tempel;;Templo visitado;;;;;;;;;x
failed_temple_ruse;Deceitful Ruler;Seigneur fourbe;Hinterlistiger Herrscher;;Gobernante falso;;;;;;;;;x
epidemic_blame_1;Civil Unrest;Troubles civils;Bürgerunruhen;;Descontento civil;;;;;;;;;x
epidemic_blame_2;Furious Peasants;Paysans furieux;Wütende Bauern;;Campesinos furiosos;;;;;;;;;x
scandalous_councillor_1;Scandalous Councillor;Membre du Conseil scandaleux;Skandalträchtiges Ratsmitglied;;Consejero escandaloso;;;;;;;;;x
scandalous_councillor_1_desc;This [GetGirlWomanBoyMan]'s choice of councillor has been the cause of some dismay.;La nomination au Conseil de ce personnage a été la cause d'un certain désarroi.;Die Wahl eines Ratsherrn dieses Charakters hat Missfallen ausgelöst.;;La elección de este personaje para el Consejo ha provocado cierta consternación.;;;;;x
scandalous_councillor_2;Scandalous Councillor;Membre du Conseil scandaleux;Skandalträchtiges Ratsmitglied;;Consejero escandaloso;;;;;;;;;x
scandalous_councillor_2_desc;This [GetGirlWomanBoyMan]'s choice of councillor has been the cause of some dismay.;La nomination au Conseil de ce personnage a été la cause d'un certain désarroi.;Die Wahl eines Ratsherrn dieses Charakters hat Missfallen ausgelöst.;;La elección de este personaje para el Consejo ha provocado cierta consternación.;;;;;x
scandalous_councillor_3;Scandalous Councillor;Membre du Conseil scandaleux;Skandalträchtiges Ratsmitglied;;Consejero escandaloso;;;;;;;;;x
scandalous_councillor_3_desc;This [GetGirlWomanBoyMan]'s choice of councillor has been the cause of some dismay.;La nomination au Conseil de ce personnage a été la cause d'un certain désarroi.;Die Wahl eines Ratsherrn dieses Charakters hat Missfallen ausgelöst.;;La elección de este personaje para el Consejo ha provocado cierta consternación.;;;;;x
hunting_dead;Hunting the Dead;Chasse aux morts-vivants;Jagd auf die Toten;;Cazando a los muertos;;;;;;;;;x
invigorated;Invigorated;A retrouvé son énergie;Voller Leben;;Fortalecido;;;;;;;;;x
good_listener;Good Listener;Personne qui sait écouter;Guter Zuhörer;;Sabe escuchar;;;;;;;;;x
confident;Confident;Confiance en l'avenir;Selbstbewusst;;Seguro;;;;;;;;;x
new_insights;New Insights;Nouvelles idées;Neue Einsichten;;Nuevas ideas;;;;;;;;;x
bargainer;Bargainer;Marchandage;Talent für Feilschen;;Negociador;;;;;;;;;x
overtaxed_subjects;Overtaxed Subjects;Sujets surimposés;Zu hoch besteuerte Untertanen;;Súbditos sobrecargados;;;;;;;;;x
respected_by_the_people;Respected by the People;Respect du peuple;Vom Volk respektiert;;Respetado por el pueblo;;;;;;;;;x
inspired_warriors;Inspired Warriors;Guerriers inspirés;Inspirierte Krieger;;Guerreros inspirados;;;;;;;;;x
inspired_warriors_desc;Seasoned warriors have traveled from far and wide, to fight for the true faith.;Des guerriers expérimentés sont venus de loin pour se battre pour la vraie foi.;Erfahrene Krieger sind aus weiter Ferne angereist, um für den wahren Glauben zu kämpfen.;;Excelentes y avezados guerreros han viajado desde todas partes para luchar por la fe verdadera.;;;;;;x
gave_funny_speech;Smooth Talker;Beau parleur;Schönredner;;Persona con labia;;;;;;;;;x
gave_pious_speech;Agent of Virtue;Agent de la vertu;Vertreter der Tugend;;Agente de virtud;;;;;;;;;x
gave_scary_speech;Belligerent Ruler;Souverain belliqueux;Kriegerischer Herrscher;;Gobernante agresivo;;;;;;;;;x

prosperity_modifier_1;Prospering;Prospérité économique;Wachsend;;Prosperando;;;;;;;;;x
prosperity_modifier_1_desc;A prolonged period of peace and shrewd management has caused this county to §YProsper§!! \n\n§YProsperity§! will increase with time, but will be hampered by negative province modifiers, war, disease and sieges. Construct §YHospitals§! and keep the province clear of hostile armies to ensure that the county continues to prosper.;Une période prolongée de paix et une gestion judicieuse ont donné lieu à une §Yéconomie prospère§! dans le comté ! \n\nLa §Yprospérité§! augmentera avec le temps, mais sera entravée par tout modificateur comtal négatif, la guerre, la maladie ou un siège. Construisez un §Yhôpital§! et gardez toute armée ennemie hors du comté afin qu'il continue à prospérer.;Nach einer langen Zeit des Friedens und gewandter Verwaltung §Ywächst§! diese Grafschaft wie nie zuvor! \n\nDer §YWohlstand§! wird sich im Lauf der Zeit steigern, doch negative Provinzmodifikatoren, Kriege, Krankheiten und Belagerungen wirken dem entgegen. Baut §YHospitale§! und haltet feindliche Armeen aus der Provinz fern, damit die Grafschaft weiter blühen kann.;;¡Un prolongado período de paz y gestión inteligente ha llevado a este condado a §YProsperar§!! \n\nLa §YProsperidad§! aumentará con el tiempo, pero será dificultada por modificadores de provincia negativos: guerra, enfermedad y asedios. Construye §YHospitales§! y mantén la provincia libre de ejércitos hostiles para asegurarte que el condado sigue prosperando.;;;;;;;;;x
prosperity_modifier_2;Flourishing;Économie florissante;Aufblühend;;Floreciendo;;;;;;;;;x
prosperity_modifier_2_desc;A prolonged period of peace and shrewd management has caused this county to §YFlourish§!! \n\n§YProsperity§! will increase with time, but will be hampered by negative province modifiers, war, disease and sieges. Construct §YHospitals§! and keep the province clear of hostile armies to ensure that the county continues to prosper.;Une période prolongée de paix et une gestion judicieuse ont donné lieu à une §Yéconomie florissante§! dans le comté ! \n\nLa §Yprospérité§! augmentera avec le temps, mais sera entravée par tout modificateur comtal négatif, la guerre, la maladie ou un siège. Construisez un §Yhôpital§! et gardez toute armée ennemie hors du comté afin qu'il continue à prospérer.;Nach einer langen Zeit des Friedens und gewandter Verwaltung §Yblüht§! diese Grafschaft geradezu! \n\nDer §YWohlstand§! wird sich im Lauf der Zeit steigern, doch negative Provinzmodifikatoren, Kriege, Krankheiten und Belagerungen wirken dem entgegen. Baut §YHospitale§! und haltet feindliche Armeen aus der Provinz fern, damit die Grafschaft weiter florieren kann.;;¡Un prolongado período de paz y gestión inteligente ha llevado a este condado a §YFlorecer§!! \n\nLa §YProsperidad§! aumentará con el tiempo, pero será dificultada por modificadores de provincia negativos: guerra, enfermedad y asedios. Construye §YHospitales§! y mantén la provincia libre de ejércitos hostiles para asegurarte que el condado sigue prosperando.;;;;;;;;;x
prosperity_modifier_3;Booming;Économie en plein essor;Florierend;;Progresando;;;;;;;;;x
prosperity_modifier_3_desc;A prolonged period of peace and shrewd management has caused this county to §YBoom§!! \n\n§YProsperity§! will increase with time, but will be hampered by negative province modifiers, war, disease and sieges. Construct §YHospitals§! and keep the province clear of hostile armies to ensure that the county continues to prosper.;Une période prolongée de paix et une gestion judicieuse ont donné lieu à une §Yéconomie en plein essor§! dans le comté ! \n\nLa §Yprospérité§! augmentera avec le temps, mais sera entravée par tout modificateur comtal négatif, la guerre, la maladie ou un siège. Construisez un §Yhôpital§! et gardez toute armée ennemie hors du comté afin qu'il continue à prospérer.;Nach einer langen Zeit des Friedens und gewandter Verwaltung §Yfloriert§! diese Grafschaft geradezu! \n\nDer §YWohlstand§! wird sich im Lauf der Zeit steigern, doch negative Provinzmodifikatoren, Kriege, Krankheiten und Belagerungen wirken dem entgegen. Baut §YHospitale§! und haltet feindliche Armeen aus der Provinz fern, damit die Grafschaft weiter boomen kann.;;Un prolongado período de paz y gestión inteligente ha llevado a este condado a un §YAuge§!! \n\nLa §YProsperidad§! aumentará con el tiempo, pero será dificultada por modificadores de provincia negativos: guerra, enfermedad y asedios. Construye §YHospitales§! y mantén provincia libre de ejércitos hostiles para asegurarte que el condado sigue prosperando.;;;;;;;;;x

bad_person;Bad Person;Mauvaise personne;Schlechter Mensch;;Mala persona;;;;;;;;;x
blessing_of_health;Blessing of Health;Santé miraculeuse;Mit Gesundheit gesegnet;;Bendición de salud;;;;;;;;;x
deaths_gift;Death's Gift;Le cadeau de la Mort;Geschenk des Todes;;El regalo de la Muerte;;;;;x
deaths_gift_desc;This [GetGirlWomanBoyMan] has been given a second chance at life.;Ce personnage a eu une seconde chance de vivre.;Dieser Charakter hat eine zweite Chance auf das Leben erhalten.;;Este personaje tiene una segunda oportunidad de vivir.;;;;;x
escaped_execution;Escaped Execution;A échappé à une exécution;Der Hinrichtung entronnen;;Escapó de la ejecución;;;;;;;;;x
ordered_our_prophet_executed;Prophet Was Set to Burn;Le prophète a été envoyé au bûcher;Prophet auf dem Scheiterhaufen verbrannt;;Profeta condenado a la hoguera;;;;;;;;;x
friends_in_high_places;Friends in High Places;Amis haut placés;Einflussreiche Freunde;;Amigos en las altas esferas;;;;;;;;;x
pet_parrot;Loyal Parrot;Fidèle perroquet;Treuer Papagei;;Loro leal;;;;;;;;;x
pet_parrot_desc;Menacing looks attracted a bird with bad attitude.;Des regards menaçants ont attiré un oiseau avec une mauvaise attitude.;Euer furchterregendes Aussehen hat einen übel gelaunten Vogel angelockt.;;Un aspecto amenazador atrajo un pájaro con mala actitud.;;;;;;;;;x
bad_crisis_management;Bad Crisis Management;Mauvaise gestion de crise;Schlechte Krisenbewältigung;;Mala gestión de la crisis;;;;;;;;;x
jewish_settlement_province;Jewish Settlement;Communauté juive;Jüdische Siedlung;;Asentamiento judío;;;;;;;;;x
jewish_settlement_province_desc;A large Jewish community has settled in this county, their merchants significantly contributing to the commerce of the county.;Une grande communauté juive s'est installée dans ce comté. Ses marchands contribuent significativement au commerce de celui-ci.;In dieser Grafschaft hat sich eine große jüdische Gemeinde niedergelassen, deren Kaufleute die Wirtschaft der Grafschaft bedeutend stärken.;;Una gran comunidad judía se ha instalado en este condado, sus comerciantes contribuyen significativamente al comercio del condado.;;;;;;;;;x
religious_settlement_province;Minority Settlement;Minorité religieuse;Siedlung einer Minderheit;;Asentamiento de minorías;;;;;;;;;x
religious_settlement_province_desc;A large community of religious minorities has settled in this county, their merchants significantly contributing to the commerce of the county.;Une grande communauté d'une minorité religieuse s'est installée dans ce comté. Ses marchands contribuent significativement au commerce de celui-ci.;In dieser Grafschaft hat sich eine große Gemeinde einer religiösen Minderheit niedergelassen, deren Kaufleute die Wirtschaft der Grafschaft bedeutend stärken.;;Una gran comunidad de minorías religiosas se ha asentado en este condado. Sus comerciantes contribuyen significativamente al comercio del condado.;;;;;;;;;x
glorious_monument_province;Glorious Monument;Monument glorieux;Glorreiches Denkmal;;Monumento glorioso;;;;;;;;;x
glorious_monument_province_desc;This magnificent structure depicts a local ruler. It is clearly visible by visiting merchants, and stories regarding its greatness travel far and wide.;Ce magnifique monument dépeint un chef local. Il est facilement visible par les marchands de passage, ce qui fait que les histoires au sujet de sa grandeur se répandent au loin.;Dieses wundervolle Gebilde stellt einen örtlichen Herrscher dar. Durchziehende Kaufleute haben einen guten Blick darauf, und über seine Großartigkeit wird nah und fern berichtet.;;Esta magnífica estructura muestra un gobernante local. Es claramente visible para los comerciantes de visita, y las historias sobre su grandeza viajan muy lejos.;;;;;;;;;x
merchant_harbor_province;Merchant Harbor;Port marchand;Handelshafen;;Puerto mercante;;;;;;;;;x
merchant_harbor_province_desc;A steady influx of merchant ships provide this county with ample opportunity for procuring ships.;Un afflux constant de navires marchands offre à ce comté l'occasion d'obtenir des navires.;Ein steter Zulauf von Handelsschiffen gewährt dieser Grafschaft reichlich Gelegenheit, Schiffe zu erwerben.;;Un flujo constante de buques mercantes proporciona a este condado amplias oportunidades para adquirir buques.;;;;;;;;;x
scholar_foundation_province;Scholar's Foundation;Fondation pour la science;Stiftung für Bildung;;Fundación de eruditos;;;;;;;;;x
scholar_foundation_province_desc;Scholar's Foundation;Fondation pour la science;Stiftung für Bildung;;Fundación de estudiosos;;;;;;;;;x
great_library_province;Great Library;Grande bibliothèque;Große Bibliothek;;Gran biblioteca;;;;;;;;;x
great_library_province_desc;This imposing building contains tomes and scrolls of vast knowledge, scholars from far and wide flock to it in order to study the secrets within.;Cet imposant bâtiment abrite de gros volumes et des manuscrits, et des érudits venus de loin affluent afin d'étudier les secrets qu'ils contiennent.;Dieses imposante Gebäude beherbergt einen wahren Wissensschatz in Form von Büchern und Schriftrollen. Gelehrte aus allen Winkeln der Erde reisen hierher, um sich ihre Geheimnisse anzueignen.;;Este imponente edificio contiene tomos y pergaminos de vastos conocimientos. Estudiosos de lo largo y ancho acuden a ella para estudiar los secretos dentro.;;;;;;;;;x
center_of_worship_province;Center of Worship;Centre religieux;Zentrum des Glaubens;;Centro de culto;;;;;;;;;x
center_of_worship_province_desc;This county serves as a hub for religious pilgrims from both far and wide.;Ce comté est une pierre angulaire pour les pèlerins venus de loin.;Diese Grafschaft dient religiösen Pilgern aus nah und fern als Zentrum des Glaubens.;;Este condado sirve de centro para los peregrinos religiosos tanto de aquí como de otra parte.;;;;;;;;;x
pet_owl;Pet Owl;Une chouette comme animal de compagnie;Hauseule;;Lechuza mascota;;;;;;;;;x
pet_owl_desc;This bird possesses a natural grace, inspiring good intention and curiosity in anyone who lay eyes on it.;Cet oiseau possède une grâce naturelle qui inspire de bonnes intentions et la curiosité de quiconque pose les yeux sur lui.;Der Vogel verfügt über eine natürliche Anmut, die in jedem Betrachter gute Absichten und Neugier hervorruft.;;Esta ave posee una gracia natural, inspirando buenas intenciones y curiosidad a todos aquellos que la ven.;;;;;;;;;x
crazy_cannibal;Crazy Cannibal;Folie cannibale;Verrückter Kannibale;;Caníbal loco.;;;;;;;;;x
crazy_cannibal_desc;This depraved character is known to be a vicious cannibal and doesn't even try to hide it!;Ce personnage dépravé est connu pour son cannibalisme et n'essaie même pas de le cacher !;Diese abscheuliche Person ist ein bekannter Kannibale und versucht noch nicht einmal, es zu verheimlichen!;;¡Este personaje depravado es conocido por ser un caníbal sanguinario y ni siquiera intenta esconderlo!;;;;;;;;;x
taking_it_easy;Taking it Easy;Se la coule douce;Gemütliche Herangehensweise;;Tomar las cosas con calma;;;;;;;;;x
taking_it_easy_desc;This [GetGirlWomanBoyMan] is taking it easy, trying not to overexert [GetHerHim]self.;Ce personnage se calme et essaie de ne pas se surmener.;Diese Person lässt es gemütlich angehen, um sich nicht zu überanstrengen.;;Este personaje toma las cosas con calma, tratando de no ejercer a sí mismos.;;;;;;;;;x
guide_dog;Guide Dog;Chien guide;Blindenhündin;;Perro guía;;;;;;;;;x
guide_dog_desc;This blind [GetManWoman] seems to be guided around by a large black dog, most peculiar...;Ce personnage aveugle est guidé par un grand chien noir très particulier...;[GetDieserDiese] blinde [GetManWoman] scheint von einem großen, schwarzen Hund geführt zu werden. Wie sonderbar!;;Est[GetEA] [GetManWoman] parece cieg[GetOA], pero le guía un gran perro negro muy peculiar…;;;;;;;;;x
lovers_memento;Lover's Memento;Souvenir de l'être aimé;Erinnerung an eine Liebe;;Recuerdo del amante;;;;;;;x
lovers_memento_desc;A small keepsake which used to bring luck to the now departed lover.;Un petit souvenir qui était utilisé comme porte-bonheur par l'être aimé disparu.;Ein kleines Andenken, das einmal der Glücksbringer einer nun verstorbenen Liebschaft war.;;Un pequeño recuerdo que le traía suerte a un amante, ahora difunto.;;;;;;;x
skull_trophy;Skull Trophy;Crâne-trophée;Schädeltrophäe;;Calavera trofeo;;;;;;;x
skull_trophy_desc;This [GetGirlWomanBoyMan] owns the skull of a deceased rival.;Ce personnage détient le crâne d'un rival décédé.;Diese Person nennt den Schädel eines verblichenen Rivalen sein eigen.;;Este personaje posee el cráneo de difunto rival.;;;;;;;x
