# Vanilla
alcohol_gift_decision;Send Alcohol Gift;Offrir de l'alcool;Alkohol-Geschenk schicken;;Enviar regalo de alcohol;;;;;;;;;x
revoke_primary;Revoke County Capital status;Révoquer le statut de capitale du comté;Hauptstadtstatus aufheben;;Revocar el estatus de capital del condado.;;;;;;;;;x
revoke_primary_desc;I can revoke the county capital status of this holding.;Je peux retirer à cette propriété le statut de capitale du comté.;Ich kann diesem Besitztum den Status als Hauptstadt entziehen.;;Puedo revocar el estatus de capital del condado de esta posesión.;;;;;;;;;x
send_child_into_hiding;Send into Hiding;Cacher;Ins Versteck schicken;;Esconder;;;;;;;;;x
send_child_into_hiding_desc;I can send my [Root.GetSonDaughter] into hiding in order to greatly improve [Root.GetHerHis] personal security against murder plots. [Root.GetHerHisCap] prestige and diplomatic ability are likely to suffer, however, and who knows how a life in hiding may affect [Root.GetHerHis] personality...;Vous pouvez cacher votre [Root.GetSonDaughter] si vous voulez assurer sa sécurité contre les complots meurtriers, mais son prestige et sa compétence diplomatique en seront affectés, et qui sait quels effets aura ce genre de vie sur sa personnalité...;Ich kann meine[Root.GetnMale] [Root.GetSonDaughter] ins Versteck schicken, um dessen persönliche Sicherheit vor Mordanschlägen wesentlich zu erhöhen. Das Prestige und die diplomatischen Fähigkeiten meines Kindes werden aber wohl darunter leiden und wer weiß, wie sich das Leben im Untergrund auf [Root.GetHerHis]e Persönlichkeit auswirkt ...;;Puedo enviar a mi [Root.GetSonDaughter] a la clandestinidad para mejorar sustancialmente [Root.GetHerHis] seguridad personal contra las conspiraciones de asesinato. No obstante, su prestigio y habilidad diplomática probablemente se resentirán y quién sabe cómo puede afectar a [Root.Spouse.GetHerHis] personalidad la vida en la clandestinidad.;;;;;;;;;x
send_child_into_hiding_named;Send [Root.GetFirstName] into Hiding;Envoyer [Root.GetFirstName] se cacher;[Root.GetFirstName] ins Versteck schicken;;Enviar a [Root.GetFirstName] a la Clandestinidad;;;;;;;;;x
send_spouse_into_hiding;Send into Hiding;Cacher;Ins Versteck schicken;;Esconder;;;;;;;;;x
send_spouse_into_hiding_desc;I can send my [Root.GetHusbandWife] into hiding in order to greatly improve [Root.GetHerHis] personal security against murder plots. [Root.GetHerHisCap] prestige and diplomatic ability are likely to suffer, however, and who knows how a life in hiding may affect [Root.GetHerHis] personality...;Vous pouvez cacher votre [Root.GetHusbandWife] si vous voulez assurer sa sécurité contre les complots meurtriers, mais son prestige et sa compétence diplomatique en seront affectés, et qui sait quels effets aura ce genre de vie sur sa personnalité...;Ich kann meine[Root.GetnMale] [Root.GetHusbandWife] verstecken, um [Root.GetHerHis]e persönliche Sicherheit vor Mordanschlägen wesentlich zu erhöhen. [Root.GetHerHisCap] Prestige und auch die diplomatischen Fähigkeiten werden aber wohl darunter leiden und wer weiß, wie sich das Leben im Untergrund auf [Root.GetHerHis]e Persönlichkeit auswirkt ...;;Puedo enviar a mi [Root.GetHusbandWife] a la clandestinidad para mejorar sustancialmente [Root.GetHerHis] seguridad personal contra las conspiraciones de asesinato. No obstante, su prestigio y habilidad diplomática probablemente se resentirán y quién sabe cómo puede afectar a [Root.GetHerHis] personalidad la vida en la clandestinidad.;;;;;;;;;x
send_spouse_into_hiding_named;Send [Root.GetFirstName] into Hiding;Cacher [Root.GetFirstName];[Root.GetFirstName] ins Versteck schicken;;Enviar a [Root.GetFirstName] a la Clandestinidad;;;;;;;;;x
shiite_caliphate_cairo_decision;Establish Cairo;S'établir au Caire;Kairo errichten;;Fundar El Cairo;;;;;x
shiite_caliphate_cairo_decision_desc;It is time to establish a new capital for our Caliphate in the bountiful delta of Lower [k_egypt.GetName].;Il est temps d'établir une nouvelle capitale pour notre califat dans le riche delta de la basse [k_egypt.GetName].;Es ist Zeit, dass wir eine neue Hauptstadt für unser Kalifat im üppigen Delta von [k_egypt.GetName] errichten.;;Es hora de fundar una nueva capital para nuestro califato en el generoso delta del Bajo [k_egypt.GetName].;;;;;x
store_relic_in_wonder;Store a Relic;Conserver une relique;Relikt lagern;;Albergar una reliquia;;;;;;;;;x
store_relic_in_wonder_desc;You can store a §Yrelic§! in one of your great works.;Vous pouvez conserver une §Yrelique§! dans l’un de vos grands ouvrages.;Ihr könnt in einem Eurer großen Bauwerke ein §YRelikt§! lagern.;;Puedes albergar una §Yreliquia§! en una de tus grandes obras.;;;;;;;;;x
summer_fair;Hold a Summer Fair;Organiser une foire d'été;Sommerfest abhalten;;Celebrar una feria de verano;;;;;;;;;x
summer_fair_desc;The Summer Fair brings merchants, peddlers and all sorts of entertainment to your county.;La foire d'été est l'occasion d'attirer marchands, colporteurs et autres divertissements dans votre comté.;Das Sommerfest bringt Kaufleute, fahrende Händler und allerlei Unterhalter in Eure Provinz.;;La feria de verano atrae a mercaderes, vendedores ambulantes y todo tipo de entretenimiento a tu provincia.;;;;;;;;;x
take_child_out_of_hiding;Take out of Hiding;Sortir de sa cachette;Aus dem Versteck holen;;Sacar de la Clandestinidad;;;;;;;;;x
take_child_out_of_hiding_desc;Once the threatening danger is over, I can take my [Root.GetSonDaughter] out of hiding and allow [Root.GetHerHim] to return to public life.;Lorsqu'il n'y aura plus de danger, vous pourrez sortir votre [Root.GetSonDaughter] de sa cachette et lui permettre de retourner à la vie publique.;Sobald die Bedrohung vorüber ist, kann ich meine[Root.GetnMale] [Root.GetSonDaughter] aus dem Versteck holen und [Root.GetSheHe] kann ins öffentliche Leben zurückkehren.;;Una vez se ha desvanecido la amenaza, puedo sacar a mi [Root.GetSonDaughter] de la clandestinidad y permitir [Root.GetHerHim] que vuelva a la vida pública.;;;;;;;;;x
take_child_out_of_hiding_named;Take [Root.GetFirstName] out of Hiding;Sortir [Root.GetFirstName] de sa cachette;[Root.GetFirstName] aus dem Versteck holen;;Sacar a [Root.GetFirstName] de la Clandestinidad;;;;;;;;;x
take_spouse_out_of_hiding;Take out of Hiding;Sortir de sa cachette;Aus dem Versteck holen;;Sacar de la Clandestinidad;;;;;;;;;x
take_spouse_out_of_hiding_desc;Once the threatening danger is over, I can take my [Root.GetHusbandWife] out of hiding and allow [Root.GetHerHim] to return to public life.;Lorsqu'il n'y aura plus de danger, vous pourrez sortir votre [Root.GetHusbandWife] de sa cachette et lui permettre de retourner à la vie publique.;Sobald die Bedrohung vorüber ist, kann ich meine[Root.GetnMale] [Root.GetHusbandWife] aus dem Versteck holen und [Root.GetSheHe] kann ins öffentliche Leben zurückkehren.;;Una vez se ha desvanecido la amenaza, puedo sacar a mi [Root.GetHusbandWife] de la clandestinidad y permitir [Root.GetHerHim] que vuelva a la vida pública.;;;;;;;;;x
take_spouse_out_of_hiding_named;Take [Root.GetFirstName] out of Hiding;Sortir [Root.GetFirstName] de sa cachette;[Root.GetFirstName] aus dem Versteck holen;;Sacar a [Root.GetFirstName] de la Clandestinidad;;;;;;;;;x
use_scary_upgrade;Try to Intimidate;Essayer d'intimider;Versucht sie einzuschüchtern;;Intenta intimidar;;;;;;;;x
use_scary_upgrade_desc;Having a conversation with §Y[Root.GetFirstNameWithNick]§! in an appropriate place might convince [Root.GetHerHim] to be more supportive.;Avoir une conversation avec §Y[Root.GetFirstNameWithNick]§! dans un endroit approprié pourrait [Root.GetLeLa] convaincre de vous apporter son soutien.;An einem geeigneten Ort ein Gespräch mit §Y[Root.GetFirstNameWithNick]§! zu haben könnte könnte [Root.Getihnsie] mehr von unserer Sache überzeugen.;;Tener una conversación con §Y[Root.GetFirstNameWithNick]§! en un lugar adecuado puede que le convenza para ser más favorable.;;;;;;;;x
use_secluded_upgrade;Private Conversation;Conversation privée;Private Unterhaltung;;Conversación privada;;;;;;;;x
use_secluded_upgrade_desc;Meeting §Y[Root.GetFirstNameWithNick]§! in a secluded place might be interesting.;Il peut être intéressant de rencontrer §Y[Root.GetFirstNameWithNick]§! dans un lieu isolé.;§Y[Root.GetFirstNameWithNick]§! an einem abgelegenen Ort zu treffen könnte interessant sein;;Encontrarse con §Y[Root.GetFirstNameWithNick]§! en un lugar apartado puede ser interesante.;;;;;;;;x
vushmgir_brothers_legacy;Mardavij's Legacy;Héritage de Mardavij;Mardavijs Vermächtnis;;El legado de Mardavij;;;;;x
vushmgir_brothers_legacy_desc;My brother Mardavij tried to repel the Muslim faith and restore the Sasanian Empire in Persia. Though he failed, maybe it is time for me to pick up his legacy and reestablish the empire myself?;Mon frère Mardavij a essayé de repousser la foi musulmane et de restaurer l'empire sassanide en Perse. Bien qu'il ait échoué, il est peut-être temps que je reprenne son héritage et rétablisse moi-même l'empire ?;Mein Bruder Mardavij versuchte, den muslimischen Glauben zu vertreiben und das sasanische Reich in Persien wiederherzustellen. Obwohl er versagt hat, ist es vielleicht an der Zeit, dass ich sein Erbe antrete und das Reich selbst wiederaufbauen!?;;Mi hermano Mardavij intentó rechazar la fe musulmana y restaurar el Imperio sasánida en Persia. Él fallo, pero puede que haya llegado la hora de que yo continúe su legado e intente restablecer el imperio.;;;;;x

# The Republic
abandon_trade_post;Abandon Trade Post;Abandonner le comptoir;Handelsposten aufgeben;;Abandonar el puesto de comercio;;;;;;;;;x
abandon_trade_post_desc;You can abandon your trade post in this county in favor of a better location.;Vous pouvez abandonner le comptoir de ce comté pour un meilleur emplacement.;Ihr könnt Euren Handelsposten in dieser Provinz zugunsten eines besseren Standorts aufgeben.;;Puedes abandonar tu puesto de comercio en esta provincia en favor de una mejor ubicación.;;;;;;;;;x
adopt_republicanism;Found Merchant Republic;Fonder une république marchande;Handelsrepublik gründen;;Fundar una República Mercante;;;;;;;;;x
adopt_republicanism_named;Found a Merchant Republic in [Root.GetName];Fonder une république marchande à [Root.GetName];In [Root.GetName] eine Handelsrepublik gründen;;Fundada una república mercante en [Root.GetName];;;;;;;;;x
create_hungary;Create Hungary;Créer la Hongrie;Erschafft Ungarn;;Crear Hungría;;;;;;;;;x
create_hungary_desc;The Magyar tribes have travelled far and fought viciously against nomads, farmers and city dwellers alike. The fertile plains of the Carpathian basin may offer us peace and succor - a new homeland at last...;Les tribus magyares ont beaucoup voyagé et ont combattu les nomades, les fermiers et les citadins indistinctement et avec cruauté. Les plaines fertiles du bassin des Carpates devraient nous offrir paix et réconfort. Une nouvelle patrie, enfin...;Die Magyar-Stämme sind weit gereist und haben entschlossen gegen Nomaden, Farmer und Stadtbewohner jeder Art gekämpft. Die fruchtbaren Länder des Karpatenbeckens können uns Frieden und Beistand gewähren – endlich eine neue Heimat...;;Las tribus magiares han viajado de lejos y luchado ferozmente contra nómadas, granjeros y habitantes de ciudad por igual. Las fértiles llanuras de la cuenca de los Cárpatos pueden ofrecernos paz y socorro una nueva patria al fin...;;;;;;;;;x
create_leon;Create the Kingdom of León;Créer le royaume de León;Erschafft das Königreich von León;;Crear el Reino de León;;;;;;;;;x
create_leon_desc;With our capital in León, the kingdom will shift its political impetus away from Asturias and the periphery towards the heartlands of the Iberian peninsula.;Grâce à notre capitale à León, nous réorienterons l'élan politique du royaume des Asturies et des périphéries vers le coeur de la péninsule ibérique.;Mit unserer Hauptstadt in León wird das Königreich seinen politischen Antrieb weg von Asturien und hin zu den Randgebieten um das zentrale Land der iberischen Halbinsel orientieren.;;Con nuestra capital en León, el reino cambiará su impulso político lejos de Asturias y la periferia hacia los países centrales de la Península Ibérica.;;;;;;;;;x
petition_doge_for_tp;Petition [Root.Liege.GetTitle] for Trade Posts;Demander à votre [Root.Liege.GetTitle] des comptoirs;Bittet [Root.Liege.GetTitle] um Handelsposten;;Solicitar Puestos Comerciales al [Root.Liege.GetTitle];;;;;;;;;x
petition_doge_for_tp_desc;Petition the [Root.Liege.GetTitle] for some Trade Posts in the name of equity.;Présenter une requête à votre [Root.Liege.GetTitle] pour l'acquisition de comptoirs au nom de l'équité;Bittet den [Root.Liege.GetTitle] um einige Handelsposten im Zeichen der Gleichberechtigung.;;Solicitar algunos Puestos Comerciales al [Root.Liege.GetTitle] en nombre de la equidad.;;;;;;;;;x
plot_seize_trade_post_decision;[Root.GetPlot];[Root.GetPlot];[Root.GetPlot];;[Root.GetPlot];;;;;;;;;x
plot_seize_trade_post_decision_desc;Put the plot into motion by attempting to seize the Trade Post.;Mettez votre plan à exécution et essayez de vous emparer du comptoir.;Setzt das Komplott in Bewegung, indem Ihr den Versuch unternehmt, den Handelsposten zu beschlagnahmen.;;Poner la conspiración en marca e intentar sitiar el Puesto Comercial.;;;;;;;;;x
usurp_tp;Usurp Trade Posts from Patrician;Usurper les comptoirs des Patriciens;Übernehme Handelsposten von Patrizier;;Usurpar Puestos Comerciales a los patricios;;;;;;;;;x
usurp_tp_desc;As [Root.GetTitle], use the powers of your office to usurp Trade Posts from a rival family.;En tant qu[Root.Get_only_e_Title][Root.GetTitle], utilisez les pouvoirs de votre charge pour usurper les comptoirs d'une famille rivale.;Als [Root.GetTitle], nutzt die Macht Eures Amtes, um Handelsposten rivalisierender Familien zu übernehmen.;;Como [Root.GetTitle], utiliza los poderes de tu posición para usurpar los Puestos Comerciales de una familia rival.;;;;;;;;;x

# Sword of Islam
convince_to_straighten_up;Convince to Straighten up;Convaincre de se reprendre en main;Überrede zur Besserung;;Convencer para enderezar;;;;;;;;;x
convince_to_straighten_up_desc;Attempt to reason with §Y[This.GetBestName]§!, asking him to clean up his act. There is no guarantee that this will succeed, but having a high Learning, Diplomacy or Intrigue skill will help. However if he owes you a favor, you can force him to do as you ask.;Tenter de raisonner [This.Get_only_le_Title]§Y[This.GetBestName]§! en lui demandant de se reprendre en main. La réussite n'est nullement garantie, mais une compétence élevée en érudition, en diplomatie ou en intrigue vous aidera. Cependant, si jamais [This.GetIlElle] vous doit une faveur, vous pourriez alors [This.GetLeLa] forcer à faire ce que vous souhaitez.;Versucht, §Y[This.GetBestName]§! zu überzeugen, sein Leben in Ordnung zu bringen. Es gibt keine Garantie auf Erfolg, aber hohe Bildung und Diplomatie hilft. Wenn man Euch einen Gefallen schuldet, könnt Ihr eine Gegenleistung einfordern.;;Intenta razonar con §Y[This.GetBestName]§!, pidiéndole que mejore su conducta. No hay ninguna garantía de que esto vaya a suceder, pero tener una gran habilidad de Aprendizaje, Diplomacia o Intriga ayudará. Sin embargo, si te debe un favor, puedes obligarle a hacer lo que pides.;;;;;;;;;x
convince_to_straighten_up_named;Convince [Root.GetTitledFirstName] to Straighten up;Convaincre [Root.Get_le_TitledFirstName] de se reprendre en main;[Root.GetFirstName] überzeugen, sich zu bessern;;Convencer a [Root.GetTitledFirstName] a enderezarse;;;;;;;;;x
embrace_ashari;Embrace the Ash'ari School;Rejoindre l'école asharite;Verschreibt Euch der Aschariya;;Abrazar la escuela Ash'ari;;;;;;;;;x
embrace_ashari_desc;You embrace Ash'ari, a Sunni school of theology that emphasizes tradition, revelation and occasionalism. This will increase your piety, but members of the opposing Mu'tazila school will disapprove.;Vous rejoignez l'école théologique asharite, une école de tradition sunnite qui met l'accent sur la tradition, la révélation et l'occasionnalisme. Cette décision augmentera votre piété, mais les membres de l'école mutazilite s'y opposeront et désapprouveront votre choix.;Ihr verschreibt Euch der Aschariya, einer Schule des Sunni-Islam, deren Fokus auf Tradition, Offenbarung und Okkasionalismus liegt. Dies wird sich positiv auf Eure Pietät auswirken, doch bei Anhängern der opponierenden Mu'tazila für Unmut sorgen.;;Abrazáis la escuela teológica suní Ash'ari, que hace hincapié en la tradición, la revelación y el ocasionalismo. Esto beneficia vuestra piedad, pero miembros de la escuela contraria Mu'tazili lo desaprueban.;;;;;;;;;x
